Card Name,Set,ProductID
Dark Magician,2002 Collectors Tin,22794
Dark Magician,2003 Collectors Tin,22800
Dark Magician,2016 Mega-Tins,122287
Dark Magician,2017 Mega-Tins,141268
Dark Magician,Collector's Boxes,146150
Dark Magician,Dark Legends,33490
Dark Magician,Duel Power,186880
Dark Magician,Duel Terminal - Preview,80868
Dark Magician,Duel Terminal 1,80897
Dark Magician,Duelist Pack: Battle City,99968
Dark Magician,Duelist Pack: Yugi,32967
Dark Magician,Forbidden Legacy,25361
Dark Magician,Legendary Collection 1,79083
Dark Magician,Legendary Collection 3: Yugi's World,66801
Dark Magician,Legendary Decks II,123493
Dark Magician,Legendary Dragon Decks,146749
Dark Magician,Maximum Gold,227415
Dark Magician,Power of Chaos: Yugi the Destiny,22809
Dark Magician,Retro Pack 1,78073
Dark Magician,Shonen Jump Magazine Promos,46803
Dark Magician,Speed Duel Decks: Destiny Masters,183717
Dark Magician,Speed Duel Decks: Match of the Millennium,213948
Dark Magician,Speed Duel: Battle City Box,227884
Dark Magician,Speed Duel: Tournament Pack 1,188971
Dark Magician,Starter Deck: Yugi,22612
Dark Magician,Starter Deck: Yugi Evolution,25210
Dark Magician,Starter Deck: Yugi Reloaded,77787
Dark Magician,Starter Deck: Yugi Reloaded,77788
Dark Magician,Structure Deck: Spellcaster's Judgment,24995
Dark Magician,Structure Deck: Yugi Muto,123808
Dark Magician,The Dark Side of Dimensions Movie Pack,120956
Dark Magician,The Dark Side of Dimensions Movie Pack: Gold Edition,126639
Dark Magician,The Dark Side of Dimensions Movie Pack: Gold Edition,126694
Dark Magician,The Dark Side of Dimensions Movie Pack: Secret Edition,207865
Dark Magician,The Dark Side of Dimensions Movie Pack: Secret Edition,207876
Dark Magician,The Dark Side of Dimensions Movie Pack: Special Edition,175257
Dark Magician,The Legend of Blue Eyes White Dragon,21876
Dark Magician,World Championship JPP Cards,178045
Summoned Skull,2002 Collectors Tin,22795
Summoned Skull,Anniversary Pack,79206
Summoned Skull,Dark Legends,33511
Summoned Skull,Demo Deck 2015,145536
Summoned Skull,Demo Pack,97937
Summoned Skull,Duel Terminal 5,81332
Summoned Skull,Duelist Pack: Yugi,32968
Summoned Skull,Legendary Collection 3: Yugi's World,66810
Summoned Skull,Millennium Pack,116976
Summoned Skull,Retro Pack 1,78094
Summoned Skull,Starter Deck: Yugi,22610
Summoned Skull,Starter Deck: Yugi Evolution,25214
Summoned Skull,Starter Deck: Yugi Reloaded,77791
Blue-Eyes White Dragon,2002 Collectors Tin,22796
Blue-Eyes White Dragon,2003 Collectors Tin,22802
Blue-Eyes White Dragon,2016 Mega-Tins,122293
Blue-Eyes White Dragon,2017 Mega-Tins,141273
Blue-Eyes White Dragon,Anniversary Pack,79204
Blue-Eyes White Dragon,Collector's Boxes,152428
Blue-Eyes White Dragon,Dark Beginning 1,23634
Blue-Eyes White Dragon,Dark Legends,33488
Blue-Eyes White Dragon,Duel Terminal - Preview,80867
Blue-Eyes White Dragon,Duel Terminal 1,80896
Blue-Eyes White Dragon,Duelist Pack: Battle City,99976
Blue-Eyes White Dragon,Duelist Pack: Kaiba,35048
Blue-Eyes White Dragon,Duelist Saga,129617
Blue-Eyes White Dragon,Forbidden Legacy,25360
Blue-Eyes White Dragon,Gold Series: Haunted Mine,59728
Blue-Eyes White Dragon,Legendary Collection 1,79082
Blue-Eyes White Dragon,Legendary Duelists: White Dragon Abyss,177175
Blue-Eyes White Dragon,Maximum Gold,227414
Blue-Eyes White Dragon,Premium Gold: Return of the Bling,96889
Blue-Eyes White Dragon,Retro Pack 1,78071
Blue-Eyes White Dragon,Speed Duel Decks: Duelists of Tomorrow,183648
Blue-Eyes White Dragon,Speed Duel: Battle City Box,227984
Blue-Eyes White Dragon,Speed Duel: Tournament Pack 1,188974
Blue-Eyes White Dragon,Starter Deck: Kaiba,22657
Blue-Eyes White Dragon,Starter Deck: Kaiba Evolution,25162
Blue-Eyes White Dragon,Starter Deck: Kaiba Reloaded,77786
Blue-Eyes White Dragon,Structure Deck: Dragons Collide,57904
Blue-Eyes White Dragon,Structure Deck: Saga of Blue-Eyes White Dragon,71226
Blue-Eyes White Dragon,Structure Deck: Seto Kaiba,123762
Blue-Eyes White Dragon,The Dark Side of Dimensions Movie Pack,120957
Blue-Eyes White Dragon,The Dark Side of Dimensions Movie Pack: Gold Edition,126640
Blue-Eyes White Dragon,The Dark Side of Dimensions Movie Pack: Gold Edition,126695
Blue-Eyes White Dragon,The Dark Side of Dimensions Movie Pack: Secret Edition,207866
