set,setID
2002 Collectors Tin,1341
2003 Collectors Tin,126
2004 Collectors Tin,127
2005 Collectors Tin,128
2006 Collectors Tin,129
2007 Collectors Tin,130
2008 Collectors Tin,131
2009 Collectors Tin,132
2010 Collectors Tins,133
2010 Duelist Pack Collection Tin,134
2011 Collectors Tins,135
2011 Duelist Pack Tin,136
2012 Collectors Tin,571
2012 Premium Collection Tin,137
2013 Collectors Tins,1149
2013 Collectors Tins Wave 2,1150
2013 Zexal Collection Tin,572
2014 Mega-Tins,1484
2014 Mega-Tins Mega Pack,1485
2015 Mega-Tins,1652
2015 Mega-Tins Mega Pack,1653
2016 Mega-Tins,1833
2016 Mega-Tins Mega Pack,1834
2017 Mega-Tins,1990
2017 Mega-Tins Mega Pack,1991
2018 Mega-Tins,2284
2018 Mega-Tins Mega Pack,2317
2019 Gold Sarcophagus Tin,2488
2019 Gold Sarcophagus Tin Mega Pack,2489
2020 Tin of Lost Memories,2679
2020 Tin of Lost Memories Mega Pack,2680
5D's 2008 English Starter Deck,138
5D's 2008 Starter Deck,139
5D's Starter Deck 2009,140
Absolute Powerforce,141
Absolute Powerforce: Special Edition,142
Abyss Rising,573
Abyss Rising SE,574
Advanced Demo Deck Extra Pack,2558
Advent Calendar 2018,2337
Advent Calendar 2019,2518
American God Cards,143
Ancient Prophecy,144
Ancient Prophecy SE,145
Ancient Sanctuary,146
Anniversary Pack,1304
Astral Pack 1,1287
Astral Pack 2,1288
Astral Pack 3,1289
Astral Pack 4,1309
Astral Pack 5,1479
Astral Pack 6,1506
Astral Pack 7,1572
Astral Pack 8,1671
Battle Pack 2: War of the Giants,1130
Battle Pack 2: War of the Giants – Round 2,1300
Battle Pack 3: Monster League,1470
Battle Pack Tournament Prize Cards,1340
Battle Pack: Epic Dawn,575
Battles of Legend: Armageddon,2660
Battles of Legend: Hero's Revenge,2459
Battles of Legend: Light's Revenge,1948
Battles of Legend: Relentless Revenge,2253
Bonds Beyond Time Movie Pack,147
Breakers of Shadow,1698
Breakers of Shadow: Special Edition,1736
Capsule Monster Coliseum,148
Champion Pack 1,149
Champion Pack 2,150
Champion Pack 3,151
Champion Pack 4,152
Champion Pack 5,153
Champion Pack 6,154
Champion Pack 7,155
Champion Pack 8,156
Chaos Impact,2527
Circuit Break,2056
Clash of Rebellions,1600
Clash of Rebellions: Special Edition,1695
Code of the Duelist,1989
Collector's Boxes,2052
Cosmo Blazer,576
Cosmo Blazer SE,577
Crimson Crisis,157
Crossed Souls,1537
Crossed Souls: Advanced Edition,1592
Crossroads of Chaos,158
Cyberdark Impact,159
Cybernetic Horizon,2267
Cybernetic Revolution,160
Dark Beginning 1,163
Dark Beginning 2,164
Dark Crisis,165
Dark Duel Stories,166
Dark Legends,167
Dark Legends Promo Card,168
Dark Neostorm,2421
Dark Revelation Volume 1,172
Dark Revelation Volume 2,173
Dark Revelation Volume 3,174
Dark Revelation Volume 4,1279
Dark Saviors,2231
Dawn of Destiny Xbox,175
Demo Deck 2015,2051
Demo Deck 2016,2682
Demo Pack,1474
Destiny Board Traveler Promo,176
Destiny Soldiers,1854
Dimension of Chaos,1660
Dragons of Legend,1354
Dragons of Legend 2,1574
Dragons of Legend: Unleashed,1828
Duel Devastator,2505
Duel Disk - Yusei Version,1343
Duel Master's Guide,178
Duel Overload,2610
Duel Power,2400
Duel Terminal,1325
Duel Terminal - Preview,179
Duel Terminal 1,1327
Duel Terminal 2,1328
Duel Terminal 3,1329
Duel Terminal 4,1330
Duel Terminal 5,1331
Duel Terminal 6,1332
Duel Terminal 7,1333
Duel Transer Promo Cards,180
Duelist Alliance,1480
Duelist Alliance: Deluxe Edition,1488
Duelist Genesis,181
Duelist League Demo 2010,1684
Duelist League Promo,182
Duelist of the Roses,183
Duelist Pack 1: Jaden Yuki,193
Duelist Pack 10: Yusei 3,185
Duelist Pack 11: Crow,186
Duelist Pack 2: Chazz Princeton,191
Duelist Pack 3: Jaden Yuki 2,194
Duelist Pack 4: Zane Truesdale,196
Duelist Pack 5: Aster Phoenix,190
Duelist Pack 6: Jaden Yuki 3,238
Duelist Pack 7,187
Duelist Pack 7: Jesse Anderson,239
Duelist Pack 8: Yusei Fudo,188
Duelist Pack 9: Yusei 2,189
Duelist Pack Collection Tin,192
Duelist Pack Special Edition,195
Duelist Pack: Battle City,1550
Duelist Pack: Dimensional Guardians,1931
Duelist Pack: Kaiba,197
Duelist Pack: Rivals of the Pharaoh,1838
Duelist Pack: Yugi,184
Duelist Revolution,198
Duelist Revolution SE,199
Duelist Saga,1917
Elemental Energy,200
Elemental Hero Collection 1,1302
Elemental Hero Collection 2,1303
Enemy of Justice,201
Eternal Duelist Soul,202
Eternity Code,2625
Event Pack Speed Duel,2561
Exclusive Tin 2009,1301
Extreme Force,2151
Extreme Victory,203
Fire Fists Special Editon,1339
Fists of the Gadgets,2471
Flames of Destruction,2212
Flaming Eternity,204
Forbidden Legacy,205
Forbidden Legacy 1,206
Forbidden Memories,207
Force of the Breaker,208
Fusion Enforcers,1890
Galactic Overlord,578
Generation Force,209
Generation Force SE,579
Gladiator's Assault,210
Gladiator's Assault SE,211
Gold Series 2,213
Gold Series 2008,214
Gold Series 2009,215
Gold Series 3,216
Gold Series 4: Pyramids Edition,217
Gold Series: Haunted Mine,580
GX Duel Academy GBA Promo,218
GX Next Generation Blister Pack Promo,1280
GX Spirit Caller Promo,220
GX Tag Force 2 Promo,221
GX Tag Force Promo,222
GX Ultimate Beginner's Pack 1,223
Hidden Arsenal,224
Hidden Arsenal 2,225
Hidden Arsenal 3,226
Hidden Arsenal 4,227
Hidden Arsenal 5: Steelswarm Invasion,228
Hidden Arsenal 5: Steelswarm Invasion SE,229
Hidden Arsenal 6: Omega Xyz,581
Hidden Arsenal 7: Knight of Stars,1110
Hidden Arsenal: Special Edition,231
Hidden Summoners,2343
High-Speed Riders,1659
Hobby League 1,232
Hobby League 2,233
Hobby League 3,234
Hobby League 4,235
Hobby League 5,236
Hobby League 6,582
Hobby League 7,583
Ignition Assault,2578
Invasion of Chaos,237
Invasion: Vengeance,1849
Invasion: Vengeance: Special Edition,1860
Judge Promotional Cards,2149
Judgment of the Light,1142
Judgment of the Light: Deluxe Edition,1162
Jump Award,240
King of Games: Yugi's Legendary Decks,1672
Labyrinth of Nightmare,241
Labyrinth_of_Nightmare,242
Legacy of Darkness,243
Legacy of the Valiant,1286
Legendary Collection 1,1290
Legendary Collection 2,245
Legendary Collection 3: Yugi's World,584
Legendary Collection 4: Joey's World,1157
Legendary Collection 5D's,1491
Legendary Collection Kaiba,2195
Legendary Decks II,1841
Legendary Dragon Decks,2055
Legendary Duelists,2049
Legendary Duelists: Ancient Millennium,2179
Legendary Duelists: Immortal Destiny,2519
Legendary Duelists: Magical Hero,2567
Legendary Duelists: Season 1,2658
Legendary Duelists: Sisters of the Rose,2365
Legendary Duelists: White Dragon Abyss,2300
Legendary Hero Decks,2336
Light and Darkness Power Pack,246
Light of Destruction,247
Lord of the Tachyon Galaxy,1112
Lost Millennium SE,1342
Magic Ruler,249
Magician's Force,250
Master Collection Volume 1,251
Master Collection Volume 2,252
Mattel Action Figure Promos: Series 1,1323
Mattel Action Figure Promos: Series 2,1317
Mattel Action Figure Promos: Series 3,2197
Maximum Crisis,1922
McDonald's Promo,253
McDonald's Promo Series 2,254
Metal Raiders,255
Millennium Pack,1760
Mystic Fighters,2528
Nintendo DS Nightmare of Troubadour,256
Noble Knights of the Round Table Box Set,1492
Number Hunters,1131
Order of Chaos,257
Order of Chaos SE,585
OTS Tournament Pack 1,1759
OTS Tournament Pack 10,2445
OTS Tournament Pack 11,2512
OTS Tournament Pack 12,2582
OTS Tournament Pack 13,2672
OTS Tournament Pack 2,1822
OTS Tournament Pack 3,1855
OTS Tournament Pack 4,1920
OTS Tournament Pack 5,2019
OTS Tournament Pack 6,2157
OTS Tournament Pack 7,2228
OTS Tournament Pack 8,2312
OTS Tournament Pack 9,2378
Pendulum Evolution,1936
Phantom Darkness,258
Pharaoh Tour Promos,2215
Pharaoh's Servant,259
Pharaonic Guardian,260
Photon Shockwave,261
Poseidra Value Box,1155
Power of Chaos: Joey the Passion,262
Power of Chaos: Kaiba the Revenge,263
Power of Chaos: Yugi the Destiny,264
Power of the Duelist,265
Premium Gold,1310
Premium Gold: Infinite Gold,1745
Premium Gold: Return of the Bling,1523
Premium Pack 1,266
Premium Pack 2,267
Primal Origin,1353
PS2 Yugioh GX The Beginning of Destiny,268
Ra Yellow Mega Pack,269
Ra Yellow Mega Pack SE,586
Raging Battle,270
Raging Battle SE,271
Raging Tempest,1880
Raging Tempest: Special Edition,1907
Reshef of Destruction,272
Retro Pack 1,1291
Retro Pack 2,1292
Return of the Duelist,587
Return of the Duelist SE,588
Reverse of Arcadia Promos,273
Rise of Destiny,274
Rise of Destiny Special Edition,275
Rise of the Duelist,2674
Rising Rampage,2462
Samurai Assault,276
Savage Strike,2380
Secret Slayers,2613
Secrets of Eternity,1505
Shadow of Infinity,277
Shadow Samurai Value Box,1158
Shadow Specters,1156
Shadows in Valhalla,2292
Shining Victories,1761
Shining Victories: Special Edition,1803
Shonen Jump Championship Series Prize Cards,279
Shonen Jump Championship Series Promos,280
Shonen Jump Magazine Promos,281
Silver Dragon Value Box,1154
Sneak Preview Series 1,282
Sneak Preview Series 2,283
Sneak Preview Series 3,284
Sneak Preview Series 4,1344
